DATAHORAOPERACAO,ID_DA_CONTA,NOME_DO_BANCO,NUMERO_DA_AGENCIA,NUMERO_DA_CONTA,OPERADOR,TIPO,VALOR
2022-01-08T12:18:40,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Victor,SAQUE,260.0
2022-01-28T12:34:24,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Clarissa,DEPOSITO,180.0
2022-01-07T15:36:58,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Maitê,DEPOSITO,80.0
2022-01-17T13:30:28,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Frederico,DEPOSITO,80.0
2022-01-17T13:30:28,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Larissa,DEPOSITO,20.0
2022-01-29T13:56:11,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Ângelo,DEPOSITO,500.0
2022-01-07T11:36:58,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Francisco,SAQUE,520.0
2022-01-20T15:43:47,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Ângelo,DEPOSITO,80.0
2022-01-29T12:56:11,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Leonardo,SAQUE,320.0
2022-01-04T15:24:42,eb3098d4-8b55-4a8a-ab3e-10d79efd1214,Santander,4009,43811754-6,Bryan,DEPOSITO,420.0
2022-01-08T15:18:40,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Larissa,SAQUE,40.0
2022-01-23T11:32:28,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Helena,DEPOSITO,160.0
2022-01-07T15:55:53,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Bryan,DEPOSITO,100.0
2022-01-04T12:24:42,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Brenda,DEPOSITO,40.0
2022-01-07T15:55:53,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,Bryan,DEPOSITO,100.0
2022-01-04T12:24:42,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Brenda,DEPOSITO,40.0
2022-01-04T11:24:42,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Felipe,DEPOSITO,100.0
2022-01-04T11:24:42,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Felipe,DEPOSITO,100.0
2022-01-21T15:37:07,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Catarina,SAQUE,140.0
2022-01-07T15:55:53,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Larissa,DEPOSITO,260.0
2022-01-20T15:12:24,eb3098d4-8b55-4a8a-ab3e-10d79efd1214,Santander,4009,43811754-6,Ezequiel,SAQUE,360.0
2022-01-17T15:30:28,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Ezequiel,DEPOSITO,280.0
2022-01-21T13:37:07,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Juliano,DEPOSITO,100.0
2022-01-21T14:37:07,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Clarissa,DEPOSITO,20.0
2022-01-29T14:56:11,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Ezequiel,DEPOSITO,80.0
2022-01-03T11:20:27,d4781ab0-5137-4fa9-9c40-3fe233eee508,Santander,0186,48394523-9,Laura,DEPOSITO,300.0
2022-01-17T12:30:28,148972c2-7062-40c3-9b4d-e96b538a90dc,Santander,2254,37025102-7,David,DEPOSITO,60.0
2022-01-04T15:24:42,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Bryan,DEPOSITO,420.0
2022-01-25T12:22:43,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,Ingrid,DEPOSITO,100.0
2022-01-08T14:18:40,bcec5aac-5da2-4277-bf96-466e99ae983c,Santander,3381,60214801-9,Ângelo,DEPOSITO,240.0
2022-01-17T14:30:28,09953f2d-d674-4f8e-bfe0-c17fdd6cb920,Santander,3121,35306174-8,João,SAQUE,280.0
2022-01-04T15:24:42,eb3098d4-8b55-4a8a-ab3e-10d79efd1214,Santander,4009,43811754-6,Emanuel,DEPOSITO,20.0
